,Unnamed: 0,Months,Year Code,Year,Value
0,7140,January,1961,1961,-1.807
1,7141,January,1962,1962,-1.597
2,7142,January,1963,1963,-0.733
3,7143,January,1964,1964,0.009
4,7144,January,1965,1965,-0.65
5,7145,January,1966,1966,-1.431
6,7146,January,1967,1967,2.292
7,7147,January,1968,1968,-1.158
8,7148,January,1969,1969,0.201
9,7149,January,1970,1970,0.023
10,7150,January,1971,1971,2.088
11,7151,January,1972,1972,1.037
12,7152,January,1973,1973,-0.694
13,7153,January,1974,1974,0.764
14,7154,January,1975,1975,0.298
15,7155,January,1976,1976,0.321
16,7156,January,1977,1977,2.343
17,7157,January,1978,1978,-1.649
18,7158,January,1979,1979,0.152
19,7159,January,1980,1980,0.685
20,7160,January,1981,1981,1.681
21,7161,January,1982,1982,-0.789
22,7162,January,1983,1983,-0.486
23,7163,January,1984,1984,0.358
24,7164,January,1985,1985,1.318
25,7165,January,1986,1986,0.725
26,7166,January,1987,1987,0.467
27,7167,January,1988,1988,0.312
28,7168,January,1989,1989,-2.013
29,7169,January,1990,1990,0.654
30,7170,January,1991,1991,-0.285
31,7171,January,1992,1992,-0.616
32,7172,January,1993,1993,-0.263
33,7173,January,1994,1994,-0.54
34,7174,January,1995,1995,-2.508
35,7175,January,1996,1996,-0.804
36,7176,January,1997,1997,-0.535
37,7177,January,1998,1998,0.147
38,7178,January,1999,1999,1.134
39,7179,January,2000,2000,-1.911
40,7180,January,2001,2001,-0.158
41,7181,January,2002,2002,1.351
42,7182,January,2003,2003,0.32
43,7183,January,2004,2004,0.645
44,7184,January,2005,2005,1.791
45,7185,January,2006,2006,0.109
46,7186,January,2007,2007,1.063
47,7187,January,2008,2008,-0.686
48,7188,January,2009,2009,0.934
49,7189,January,2010,2010,2.056
50,7190,January,2011,2011,1.564
51,7191,January,2012,2012,-0.182
52,7192,January,2013,2013,1.441
53,7193,January,2014,2014,0.982
54,7194,January,2015,2015,-0.876
55,7195,January,2016,2016,-1.597
56,7196,January,2017,2017,0.529
57,7197,January,2018,2018,0.744
58,7198,January,2019,2019,-0.47
59,7199,January,2020,2020,-0.308
60,7200,February,1961,1961,-0.471
61,7201,February,1962,1962,-1.047
62,7202,February,1963,1963,-1.16
63,7203,February,1964,1964,-0.965
64,7204,February,1965,1965,0.538
65,7205,February,1966,1966,-0.1
66,7206,February,1967,1967,0.27
67,7207,February,1968,1968,0.281
68,7208,February,1969,1969,-0.149
69,7209,February,1970,1970,-0.226
70,7210,February,1971,1971,1.274
71,7211,February,1972,1972,0.817
72,7212,February,1973,1973,-2.713
73,7213,February,1974,1974,-0.918
74,7214,February,1975,1975,0.629
75,7215,February,1976,1976,-0.004
76,7216,February,1977,1977,-1.022
77,7217,February,1978,1978,0.26
78,7218,February,1979,1979,-0.446
79,7219,February,1980,1980,0.363
80,7220,February,1981,1981,1.079
81,7221,February,1982,1982,-0.57
82,7222,February,1983,1983,-1.325
83,7223,February,1984,1984,-0.707
84,7224,February,1985,1985,-1.782
85,7225,February,1986,1986,3.584
86,7226,February,1987,1987,-0.396
87,7227,February,1988,1988,-1.632
88,7228,February,1989,1989,-0.598
89,7229,February,1990,1990,-0.442
90,7230,February,1991,1991,1.854
91,7231,February,1992,1992,-1.76
92,7232,February,1993,1993,-1.398
93,7233,February,1994,1994,-2.281
94,7234,February,1995,1995,-0.162
95,7235,February,1996,1996,1.691
96,7236,February,1997,1997,-1.758
97,7237,February,1998,1998,1.447
98,7238,February,1999,1999,-0.627
99,7239,February,2000,2000,-1.756
100,7240,February,2001,2001,0.865
101,7241,February,2002,2002,-0.169
102,7242,February,2003,2003,0.729
103,7243,February,2004,2004,1.664
104,7244,February,2005,2005,0.496
105,7245,February,2006,2006,-1.275
106,7246,February,2007,2007,-0.507
107,7247,February,2008,2008,-0.698
108,7248,February,2009,2009,-0.395
109,7249,February,2010,2010,2.005
110,7250,February,2011,2011,1.961
111,7251,February,2012,2012,0.037
112,7252,February,2013,2013,-1.848
113,7253,February,2014,2014,-1.842
114,7254,February,2015,2015,-0.657
115,7255,February,2016,2016,-1.045
116,7256,February,2017,2017,0.974
117,7257,February,2018,2018,0.048
118,7258,February,2019,2019,2.558
119,7259,February,2020,2020,0.014
120,7260,March,1961,1961,-2.035
121,7261,March,1962,1962,0.128
122,7262,March,1963,1963,-0.666
123,7263,March,1964,1964,0.649
124,7264,March,1965,1965,1.217
125,7265,March,1966,1966,2.049
126,7266,March,1967,1967,-0.185
127,7267,March,1968,1968,0.664
128,7268,March,1969,1969,-0.736
129,7269,March,1970,1970,0.553
130,7270,March,1971,1971,-0.529
131,7271,March,1972,1972,-1.27
132,7272,March,1973,1973,-0.937
133,7273,March,1974,1974,-0.028
134,7274,March,1975,1975,1.603
135,7275,March,1976,1976,0.115
136,7276,March,1977,1977,-0.026
137,7277,March,1978,1978,-0.32
138,7278,March,1979,1979,1.154
139,7279,March,1980,1980,0.537
140,7280,March,1981,1981,1.46
141,7281,March,1982,1982,-1.056
142,7282,March,1983,1983,-0.648
143,7283,March,1984,1984,1.426
144,7284,March,1985,1985,0.5
145,7285,March,1986,1986,1.753
146,7286,March,1987,1987,1.652
147,7287,March,1988,1988,3.517
148,7288,March,1989,1989,-0.023
149,7289,March,1990,1990,-0.272
150,7290,March,1991,1991,-1.783
151,7291,March,1992,1992,-1.092
152,7292,March,1993,1993,0.787
153,7293,March,1994,1994,-0.238
154,7294,March,1995,1995,1.005
155,7295,March,1996,1996,-1.392
156,7296,March,1997,1997,-0.476
157,7297,March,1998,1998,0.335
158,7298,March,1999,1999,-0.517
159,7299,March,2000,2000,-1.303
160,7300,March,2001,2001,-1.006
161,7301,March,2002,2002,2.772
162,7302,March,2003,2003,0.714
163,7303,March,2004,2004,-0.245
164,7304,March,2005,2005,1.996
165,7305,March,2006,2006,-0.654
166,7306,March,2007,2007,-1.157
167,7307,March,2008,2008,0.974
168,7308,March,2009,2009,1.69
169,7309,March,2010,2010,2.786
170,7310,March,2011,2011,-0.91
171,7311,March,2012,2012,1.487
172,7312,March,2013,2013,1.633
173,7313,March,2014,2014,-1.996
174,7314,March,2015,2015,0.43
175,7315,March,2016,2016,-0.334
176,7316,March,2017,2017,1.937
177,7317,March,2018,2018,1.857
178,7318,March,2019,2019,1.973
179,7319,March,2020,2020,0.032
180,7320,April,1961,1961,-1.477
181,7321,April,1962,1962,-1.089
182,7322,April,1963,1963,-2.956
183,7323,April,1964,1964,-3.232
184,7324,April,1965,1965,-0.094
185,7325,April,1966,1966,0.377
186,7326,April,1967,1967,-0.545
187,7327,April,1968,1968,2.128
188,7328,April,1969,1969,1.629
189,7329,April,1970,1970,-1.576
190,7330,April,1971,1971,2.471
191,7331,April,1972,1972,-0.279
192,7332,April,1973,1973,0.308
193,7333,April,1974,1974,-0.676
194,7334,April,1975,1975,-0.877
195,7335,April,1976,1976,-2.278
196,7336,April,1977,1977,-0.627
197,7337,April,1978,1978,4.152
198,7338,April,1979,1979,3.158
199,7339,April,1980,1980,0.971
200,7340,April,1981,1981,-1.053
201,7341,April,1982,1982,0.98
202,7342,April,1983,1983,0.978
203,7343,April,1984,1984,-2.045
204,7344,April,1985,1985,1.077
205,7345,April,1986,1986,1.718
206,7346,April,1987,1987,-0.781
207,7347,April,1988,1988,0.249
208,7348,April,1989,1989,-2.157
209,7349,April,1990,1990,-0.896
210,7350,April,1991,1991,-0.205
211,7351,April,1992,1992,2.192
212,7352,April,1993,1993,-0.977
213,7353,April,1994,1994,0.05
214,7354,April,1995,1995,-0.616
215,7355,April,1996,1996,1.73
216,7356,April,1997,1997,0.046
217,7357,April,1998,1998,-3.666
218,7358,April,1999,1999,-3.025
219,7359,April,2000,2000,-2.78
