Iceberg,Year,Month,Length (NM),Width (NM),Latitude,Longitude
A23A,2019.0,10.0,44.0,40.0,-75.79,-41.06
A23A,2020.0,11.5,42.8,38.2,-75.80233333333334,-41.438
A23A,2021.0,6.5,40.0,34.0,-75.63990277777778,-40.26745833333333
A23A,2022.0,4.5,40.0,34.0,-75.08229166666668,-38.673833333333334
A63,2019.0,10.0,11.0,3.0,-76.29,-46.7444
A63,2020.0,11.5,11.0,3.0,-72.08266666666667,-50.028
A63,2021.0,6.5,9.833333333333334,3.0,-66.70959722222223,-54.74490277777778
A64,2019.0,10.0,16.0,11.0,-69.73,-60.98
A64,2020.0,11.5,15.4,10.4,-69.697,-60.959
A64,2021.0,6.5,11.466666666666667,8.166666666666666,-67.93143055555555,-60.80309722222222
A64,2022.0,4.5,9.125,8.0,-66.26185416666667,-59.626875
A68A,2019.0,10.0,82.0,26.0,-64.86173333333333,-56.9895
A68A,2020.0,11.5,72.7,25.4,-56.17166666666667,-39.602000000000004
A68A,2021.0,2.5,26.104166666666668,10.666666666666666,-55.638333333333335,-34.07729166666667
A68B,2019.0,10.0,7.0,3.0,-64.6357,-58.675599999999996
A68C,2020.0,11.5,9.0,5.0,-52.15416666666667,-28.791666666666664
A68D,2020.0,12.0,11.0,5.0,-55.366666666666674,-36.88
A68D,2021.0,1.0,10.0,4.25,-55.3475,-35.965
A68E,2020.0,12.0,33.0,8.0,-56.785,-35.645
A68E,2021.0,1.5,23.5,6.166666666666666,-53.3625,-36.50125
A68F,2020.0,12.0,14.0,7.0,-56.71,-35.795
A68G,2021.0,2.0,21.166666666666668,5.25,-56.20333333333334,-35.845
A68H,2021.0,2.0,9.5,3.75,-54.74666666666667,-35.800000000000004
A68I,2021.0,1.5,15.625,2.625,-55.0375,-35.400000000000006
A68J,2021.0,2.5,15.0,2.75,-55.3625,-34.817499999999995
A68K,2021.0,2.0,10.0,2.0,-56.31,-35.196666666666665
A68L,2021.0,2.0,10.0,2.0,-57.04,-33.945
A68M,2021.0,2.5,14.5,3.5,-56.7375,-35.53375
A68N,2021.0,2.0,11.0,2.0,-56.0,-35.44333333333333
A68O,2021.0,2.0,7.0,2.0,-56.005,-35.459999999999994
A68P,2021.0,2.0,12.0,2.0,-56.01333333333333,-34.67
A69A,2020.0,11.5,10.0,9.0,-68.47800000000001,-60.010000000000005
A69A,2021.0,6.5,10.0,9.0,-67.472,-60.65105555555556
A69A,2022.0,4.5,10.0,9.0,-65.6515625,-58.3596875
A69B,2020.0,11.5,10.0,7.0,-68.20866666666666,-60.93233333333333
A69B,2021.0,6.5,10.0,6.633333333333333,-67.12491666666666,-60.30329166666667
A69B,2022.0,4.5,10.0,5.0,-64.5673125,-57.3604375
