Iceberg,Year,Month,Length (NM),Width (NM),Latitude,Longitude
A23A,2019.0,8.0,44.0,40.0,-75.79,-41.06
A23A,2019.0,9.0,44.0,40.0,-75.79,-41.06
A23A,2019.0,10.0,44.0,40.0,-75.79,-41.06
A23A,2019.0,11.0,44.0,40.0,-75.79,-41.06
A23A,2019.0,12.0,44.0,40.0,-75.79,-41.06
A23A,2020.0,11.0,44.0,40.0,-75.76666666666667,-41.54
A23A,2020.0,12.0,41.6,36.4,-75.838,-41.336
A23A,2021.0,1.0,40.0,34.0,-75.75,-40.28
A23A,2021.0,2.0,40.0,34.0,-75.7,-39.885
A23A,2021.0,3.0,40.0,34.0,-75.7,-39.845
A23A,2021.0,4.0,40.0,34.0,-75.70599999999999,-39.71
A23A,2021.0,5.0,40.0,34.0,-75.6875,-40.1325
A23A,2021.0,6.0,40.0,34.0,-75.575,-39.84
A23A,2021.0,7.0,40.0,34.0,-75.47200000000001,-39.69
A23A,2021.0,8.0,40.0,34.0,-75.43333333333334,-40.17
A23A,2021.0,9.0,40.0,34.0,-75.465,-40.5225
A23A,2021.0,10.0,40.0,34.0,-75.64200000000001,-41.068
A23A,2021.0,11.0,40.0,34.0,-75.74,-41.1925
A23A,2021.0,12.0,40.0,34.0,-75.80799999999999,-40.874
A23A,2022.0,1.0,40.0,34.0,-75.89750000000001,-39.8775
A23A,2022.0,2.0,40.0,34.0,-75.915,-38.94
A23A,2022.0,3.0,40.0,34.0,-75.4375,-37.5375
A23A,2022.0,4.0,40.0,34.0,-75.02000000000001,-37.674
A23A,2022.0,5.0,40.0,34.0,-74.79333333333334,-37.766666666666666
A23A,2022.0,6.0,40.0,34.0,-74.82000000000001,-38.876
A23A,2022.0,7.0,40.0,34.0,-74.53,-38.763999999999996
A23A,2022.0,8.0,40.0,34.0,-74.245,-39.955
A63,2019.0,8.0,11.0,3.0,-76.29,-46.76
A63,2019.0,9.0,11.0,3.0,-76.29,-46.74
A63,2019.0,10.0,11.0,3.0,-76.29,-46.74
A63,2019.0,11.0,11.0,3.0,-76.29,-46.742000000000004
A63,2019.0,12.0,11.0,3.0,-76.29,-46.74
A63,2020.0,11.0,11.0,3.0,-72.29333333333334,-48.0
A63,2020.0,12.0,11.0,3.0,-71.872,-52.056
A63,2021.0,1.0,11.0,3.0,-71.6225,-54.625
A63,2021.0,2.0,11.0,3.0,-71.5125,-54.9
A63,2021.0,3.0,11.0,3.0,-70.095,-56.4525
A63,2021.0,4.0,11.0,3.0,-69.22999999999999,-56.95399999999999
A63,2021.0,5.0,11.0,3.0,-67.97749999999999,-56.335
A63,2021.0,6.0,11.0,3.0,-66.6875,-56.95
A63,2021.0,7.0,11.0,3.0,-65.806,-56.620000000000005
A63,2021.0,8.0,11.0,3.0,-64.22666666666667,-55.32333333333333
A63,2021.0,9.0,10.0,3.0,-64.225,-54.5475
A63,2021.0,10.0,7.0,3.0,-63.83,-52.74400000000001
A63,2021.0,11.0,7.0,3.0,-62.9725,-50.8575
A63,2021.0,12.0,6.0,3.0,-62.33,-50.63
A64,2019.0,8.0,16.0,11.0,-69.73,-60.98
A64,2019.0,9.0,16.0,11.0,-69.73,-60.98
A64,2019.0,10.0,16.0,11.0,-69.73,-60.98
A64,2019.0,11.0,16.0,11.0,-69.73,-60.98
A64,2019.0,12.0,16.0,11.0,-69.73,-60.98
A64,2020.0,11.0,16.0,11.0,-69.73,-60.99
A64,2020.0,12.0,14.8,9.8,-69.664,-60.928
A64,2021.0,1.0,13.0,9.0,-69.48,-60.765
A64,2021.0,2.0,13.0,9.0,-69.2,-60.6225
A64,2021.0,3.0,12.0,8.0,-68.4675,-60.707499999999996
A64,2021.0,4.0,11.6,8.0,-68.188,-60.934000000000005
A64,2021.0,5.0,11.0,8.0,-68.0,-60.9775
A64,2021.0,6.0,11.0,8.0,-67.6725,-61.205
A64,2021.0,7.0,11.0,8.0,-67.534,-61.16799999999999
A64,2021.0,8.0,11.0,8.0,-67.46666666666665,-61.01666666666667
A64,2021.0,9.0,11.0,8.0,-67.455,-60.947500000000005
A64,2021.0,10.0,11.0,8.0,-67.38199999999999,-60.838
A64,2021.0,11.0,11.0,8.0,-67.2375,-60.417500000000004
A64,2021.0,12.0,11.0,8.0,-67.09400000000001,-60.038
A64,2022.0,1.0,10.0,8.0,-67.17,-59.3525
A64,2022.0,2.0,9.0,8.0,-67.2875,-59.9275
A64,2022.0,3.0,9.0,8.0,-67.03999999999999,-59.99
A64,2022.0,4.0,9.0,8.0,-66.27799999999999,-60.089999999999996
A64,2022.0,5.0,9.0,8.0,-65.78333333333335,-60.25
A64,2022.0,6.0,9.0,8.0,-65.704,-59.767999999999994
A64,2022.0,7.0,9.0,8.0,-65.502,-59.23199999999999
A64,2022.0,8.0,9.0,8.0,-65.33,-58.405
A68A,2019.0,8.0,82.0,26.0,-65.17666666666666,-57.94
A68A,2019.0,9.0,82.0,26.0,-65.02000000000001,-57.635
A68A,2019.0,10.0,82.0,26.0,-64.91250000000001,-57.379999999999995
A68A,2019.0,11.0,82.0,26.0,-64.80199999999999,-56.589999999999996
A68A,2019.0,12.0,82.0,26.0,-64.39750000000001,-55.4025
A68A,2020.0,11.0,82.0,26.0,-56.24333333333333,-41.44
A68A,2020.0,12.0,63.4,24.8,-56.1,-37.763999999999996
A68A,2021.0,1.0,38.25,21.0,-56.6075,-35.54
A68A,2021.0,2.0,31.0,10.0,-56.8625,-33.777499999999996
A68A,2021.0,3.0,23.5,7.0,-55.81,-33.065
A68A,2021.0,4.0,11.666666666666666,4.666666666666667,-53.27333333333333,-33.92666666666667
A68B,2019.0,8.0,7.0,3.0,-64.63,-58.74
A68B,2019.0,9.0,7.0,3.0,-64.6225,-58.735
A68B,2019.0,10.0,7.0,3.0,-64.6425,-58.785
A68B,2019.0,11.0,7.0,3.0,-64.646,-58.638
A68B,2019.0,12.0,7.0,3.0,-64.6375,-58.480000000000004
A68C,2020.0,11.0,9.0,5.0,-52.03333333333333,-29.223333333333333
A68C,2020.0,12.0,9.0,5.0,-52.275,-28.36
A68D,2020.0,12.0,11.0,5.0,-55.366666666666674,-36.88
A68D,2021.0,1.0,10.0,4.25,-55.3475,-35.965
A68E,2020.0,12.0,33.0,8.0,-56.785,-35.644999999999996
A68E,2021.0,1.0,33.0,8.0,-53.825,-35.0025
A68E,2021.0,2.0,14.0,4.333333333333333,-52.9,-38.0
A68F,2020.0,12.0,14.0,7.0,-56.71,-35.795
A68G,2021.0,1.0,29.0,10.0,-56.58,-35.71
A68G,2021.0,2.0,26.5,3.25,-56.545,-35.605000000000004
A68G,2021.0,3.0,8.0,2.5,-55.485,-36.22
A68H,2021.0,1.0,11.0,5.0,-56.21,-35.54
A68H,2021.0,2.0,11.0,4.25,-54.835,-35.365
A68H,2021.0,3.0,6.5,2.0,-53.19499999999999,-36.495000000000005
A68I,2021.0,1.0,19.0,3.0,-56.28,-35.5
A68I,2021.0,2.0,12.25,2.25,-53.795,-35.300000000000004
A68J,2021.0,2.0,20.0,3.5,-56.405,-34.599999999999994
A68J,2021.0,3.0,10.0,2.0,-54.32,-35.035
A68K,2021.0,2.0,10.0,2.0,-56.31,-35.196666666666665
A68L,2021.0,2.0,10.0,2.0,-57.04,-33.945
A68M,2021.0,2.0,21.5,4.5,-56.69,-35.3875
A68M,2021.0,3.0,7.5,2.5,-56.785,-35.68
A68N,2021.0,2.0,11.0,2.0,-56.0,-35.44333333333333
A68O,2021.0,2.0,7.0,2.0,-56.005,-35.459999999999994
A68P,2021.0,2.0,12.0,2.0,-56.01333333333333,-34.67
A69A,2020.0,11.0,10.0,9.0,-68.64,-59.580000000000005
A69A,2020.0,12.0,10.0,9.0,-68.316,-60.44
A69A,2021.0,1.0,10.0,9.0,-68.05,-61.0175
A69A,2021.0,2.0,10.0,9.0,-67.8925,-61.0225
A69A,2021.0,3.0,10.0,9.0,-67.7575,-61.2
A69A,2021.0,4.0,10.0,9.0,-67.692,-61.220000000000006
A69A,2021.0,5.0,10.0,9.0,-67.705,-60.98
A69A,2021.0,6.0,10.0,9.0,-67.4925,-60.9925
A69A,2021.0,7.0,10.0,9.0,-67.404,-60.76800000000001
A69A,2021.0,8.0,10.0,9.0,-67.26,-60.54666666666666
A69A,2021.0,9.0,10.0,9.0,-67.23,-60.47
A69A,2021.0,10.0,10.0,9.0,-67.134,-60.346000000000004
A69A,2021.0,11.0,10.0,9.0,-67.0125,-59.7275
A69A,2021.0,12.0,10.0,9.0,-67.034,-59.522000000000006
A69A,2022.0,1.0,10.0,9.0,-67.02,-58.802499999999995
A69A,2022.0,2.0,10.0,9.0,-66.72749999999999,-59.5525
A69A,2022.0,3.0,10.0,9.0,-66.35499999999999,-59.0475
A69A,2022.0,4.0,10.0,9.0,-65.696,-59.182
A69A,2022.0,5.0,10.0,9.0,-65.36,-58.99
A69A,2022.0,6.0,10.0,9.0,-65.21,-58.152
A69A,2022.0,7.0,10.0,9.0,-64.704,-57.04600000000001
A69A,2022.0,8.0,10.0,9.0,-64.14,-56.105000000000004
A69B,2020.0,11.0,10.0,7.0,-68.55333333333333,-60.586666666666666
A69B,2020.0,12.0,10.0,7.0,-67.864,-61.278
A69B,2021.0,1.0,10.0,7.0,-67.5425,-61.1375
A69B,2021.0,2.0,10.0,7.0,-67.455,-61.1025
A69B,2021.0,3.0,10.0,7.0,-67.325,-61.0375
A69B,2021.0,4.0,10.0,7.0,-67.33,-60.91799999999999
A69B,2021.0,5.0,10.0,7.0,-67.2825,-60.5975
