year,penguin_count,common_name,site_id
2002,1880.0,adelie penguin,ACUN
2003,1880.0,adelie penguin,ACUN
2004,1880.0,adelie penguin,ACUN
2005,2051.285714285714,adelie penguin,ACUN
2006,2222.5714285714284,adelie penguin,ACUN
2007,2393.857142857143,adelie penguin,ACUN
2008,2565.142857142857,adelie penguin,ACUN
2009,2736.4285714285716,adelie penguin,ACUN
2010,2907.714285714286,adelie penguin,ACUN
2011,3079.0,adelie penguin,ACUN
2012,3079.0,adelie penguin,ACUN
2013,3079.0,adelie penguin,ACUN
2014,3079.0,adelie penguin,ACUN
2015,3079.0,adelie penguin,ACUN
2016,3079.0,adelie penguin,ACUN
2017,3079.0,adelie penguin,ACUN
2018,3079.0,adelie penguin,ACUN
2019,3079.0,adelie penguin,ACUN
2020,3079.0,adelie penguin,ACUN
2002,3877.0,adelie penguin,LLAN
2003,3066.0,adelie penguin,LLAN
2004,2678.0,adelie penguin,LLAN
2005,2393.0,adelie penguin,LLAN
2006,2322.0,adelie penguin,LLAN
2007,2142.0,adelie penguin,LLAN
2008,2577.0,adelie penguin,LLAN
2009,2102.0,adelie penguin,LLAN
2010,2106.0,adelie penguin,LLAN
2011,2813.0,adelie penguin,LLAN
2012,2048.0,adelie penguin,LLAN
2013,3246.0,adelie penguin,LLAN
2014,3259.0,adelie penguin,LLAN
2015,3259.0,adelie penguin,LLAN
2016,3259.0,adelie penguin,LLAN
2017,3259.0,adelie penguin,LLAN
2018,3259.0,adelie penguin,LLAN
2019,3259.0,adelie penguin,LLAN
2020,3259.0,adelie penguin,LLAN
2002,143.0,adelie penguin,LITC
2003,52.0,adelie penguin,LITC
2004,33.0,adelie penguin,LITC
2005,15.0,adelie penguin,LITC
2006,2.0,adelie penguin,LITC
2007,0.0,adelie penguin,LITC
2008,0.0,adelie penguin,LITC
2009,0.0,adelie penguin,LITC
2010,0.0,adelie penguin,LITC
2011,0.0,adelie penguin,LITC
2012,0.0,adelie penguin,LITC
2013,0.0,adelie penguin,LITC
2014,0.0,adelie penguin,LITC
2015,0.0,adelie penguin,LITC
2016,0.0,adelie penguin,LITC
2017,0.0,adelie penguin,LITC
2018,0.0,adelie penguin,LITC
2019,0.0,adelie penguin,LITC
2020,0.0,adelie penguin,LITC
2002,0.0,adelie penguin,JOUB
2003,0.0,adelie penguin,JOUB
2004,0.0,adelie penguin,JOUB
2005,0.0,adelie penguin,JOUB
2006,0.0,adelie penguin,JOUB
2007,0.0,adelie penguin,JOUB
2008,0.0,adelie penguin,JOUB
2009,0.0,adelie penguin,JOUB
2010,0.0,adelie penguin,JOUB
2011,0.0,adelie penguin,JOUB
2012,0.0,adelie penguin,JOUB
2013,0.0,adelie penguin,JOUB
2014,0.0,adelie penguin,JOUB
2015,0.0,adelie penguin,JOUB
2016,0.0,adelie penguin,JOUB
2017,0.0,adelie penguin,JOUB
2018,0.0,adelie penguin,JOUB
2019,0.0,adelie penguin,JOUB
2020,0.0,adelie penguin,JOUB
2002,20.0,adelie penguin,JONE
2003,20.0,adelie penguin,JONE
2004,20.0,adelie penguin,JONE
2005,20.0,adelie penguin,JONE
2006,20.0,adelie penguin,JONE
2007,20.0,adelie penguin,JONE
2008,20.0,adelie penguin,JONE
2009,20.0,adelie penguin,JONE
2010,20.0,adelie penguin,JONE
2011,20.0,adelie penguin,JONE
2012,30.5,adelie penguin,JONE
2013,41.0,adelie penguin,JONE
2014,38.5,adelie penguin,JONE
2015,36.0,adelie penguin,JONE
2016,33.5,adelie penguin,JONE
2017,31.0,adelie penguin,JONE
2018,40.0,adelie penguin,JONE
2019,40.0,adelie penguin,JONE
2020,40.0,adelie penguin,JONE
2002,592.0,adelie penguin,JING
2003,592.0,adelie penguin,JING
2004,592.0,adelie penguin,JING
2005,592.0,adelie penguin,JING
2006,592.0,adelie penguin,JING
2007,592.0,adelie penguin,JING
2008,592.0,adelie penguin,JING
2009,592.0,adelie penguin,JING
2010,592.0,adelie penguin,JING
2011,592.0,adelie penguin,JING
2012,592.0,adelie penguin,JING
2013,592.0,adelie penguin,JING
2014,592.0,adelie penguin,JING
2015,592.0,adelie penguin,JING
2016,592.0,adelie penguin,JING
2017,592.0,adelie penguin,JING
2018,592.0,adelie penguin,JING
2019,592.0,adelie penguin,JING
2020,592.0,adelie penguin,JING
2002,1899.0,adelie penguin,JANE
2003,1899.0,adelie penguin,JANE
2004,1899.0,adelie penguin,JANE
2005,1899.0,adelie penguin,JANE
2006,1899.0,adelie penguin,JANE
2007,1899.0,adelie penguin,JANE
2008,1899.0,adelie penguin,JANE
2009,1899.0,adelie penguin,JANE
2010,1899.0,adelie penguin,JANE
2011,1899.0,adelie penguin,JANE
2012,1899.0,adelie penguin,JANE
2013,1899.0,adelie penguin,JANE
2014,1899.0,adelie penguin,JANE
2015,1899.0,adelie penguin,JANE
2016,1899.0,adelie penguin,JANE
2017,1899.0,adelie penguin,JANE
2018,1899.0,adelie penguin,JANE
2019,1899.0,adelie penguin,JANE
2020,1899.0,adelie penguin,JANE
2002,4.0,adelie penguin,JACO
2003,4.0,adelie penguin,JACO
2004,4.0,adelie penguin,JACO
2005,4.0,adelie penguin,JACO
2006,4.0,adelie penguin,JACO
2007,4.0,adelie penguin,JACO
2008,4.0,adelie penguin,JACO
2009,4.0,adelie penguin,JACO
2010,4.0,adelie penguin,JACO
2011,4.0,adelie penguin,JACO
2012,4.0,adelie penguin,JACO
2013,4.0,adelie penguin,JACO
2014,4.0,adelie penguin,JACO
2015,4.0,adelie penguin,JACO
2016,4.0,adelie penguin,JACO
2017,4.0,adelie penguin,JACO
2018,4.0,adelie penguin,JACO
2019,4.0,adelie penguin,JACO
2020,4.0,adelie penguin,JACO
2002,18313.0,adelie penguin,INEX
2003,23531.333333333332,adelie penguin,INEX
2004,28749.666666666664,adelie penguin,INEX
2005,33968.0,adelie penguin,INEX
2006,27347.0,adelie penguin,INEX
2007,30377.25,adelie penguin,INEX
2008,33407.5,adelie penguin,INEX
2009,36437.75,adelie penguin,INEX
2010,39468.0,adelie penguin,INEX
2011,31142.25,adelie penguin,INEX
2012,22816.5,adelie penguin,INEX
2013,36117.0,adelie penguin,INEX
2014,33893.875,adelie penguin,INEX
2015,31670.75,adelie penguin,INEX
2016,29447.625,adelie penguin,INEX
2017,27224.5,adelie penguin,INEX
2018,34358.0,adelie penguin,INEX
2019,29130.5,adelie penguin,INEX
2020,29130.5,adelie penguin,INEX
2002,6130.0,adelie penguin,IVAN
2003,6130.0,adelie penguin,IVAN
2004,6130.0,adelie penguin,IVAN
